ID;INEP;NOME;ENDERECO;MUNICIPIO;UF;GRE
428af7c8-d16e-4f63-9908-645f5a9ce5e5;25043897;ECIT CICERO DOS ANJOS;RUA ALZIRA XAVIER DAS NEVES, SN INSTITUICAO DE ENSIN. CENTRO. 58158-000 São Vicente do Seridó - PB.;São Vicente do Seridó;PB;04ª GRE (Cuité)
03535fce-8f7a-4306-bf8e-56bf928f6d81;25044362;ECIT PEDRO BEZERRA FILHO;RUA ANTONIO GALDINO CHAVES, 23 PREDIO. CENTRO. 58530-000 Camalaú - PB.;Camalaú;PB;05ª GRE (Monteiro)
ed49fb9d-5659-46f0-a544-68377bcca6dd;25044788;ECIT MANOEL ALVES CAMPOS;RUA SENADOR RUI CARNEIRO, SN CENTRO. 58535-000 Congo - PB.;Congo;PB;05ª GRE (Monteiro)
3b7e67b7-5971-411c-acca-24d3ef47de2e;25045059;ECIT JOAO LELYS;RUA PRESIDENTE JOAO PESSOA, 54 CENTRO. 58690-000 Livramento - PB.;Livramento;PB;03ª GRE (Campina Grande)
d7df0247-ccd2-484f-9b6d-e52ca63d55c6;25045377;ECIT JOSE LEITE DE SOUZA;RUA WAGNER AUGUSTO BEZERRA JAPYASSU, 426 CENTRO. 58500-000 Monteiro - PB.;Monteiro;PB;05ª GRE (Monteiro)
05772904-a7dd-466b-a005-cc7a045bbb32;25045466;EEEM BENTO TENORIO DE SOUSA;SITIO SANTA CATARINA, SN ESCOLA. ZONA RURAL. 58500-000 Monteiro - PB.;Monteiro;PB;
969c7a07-7d44-4864-bbf4-737da8623cb8;25045555;EEEFM MIGUEL SANTA CRUZ;RUA GETULIO VARGAS, 61 CENTRO. 58500-000 Monteiro - PB.;Monteiro;PB;05ª GRE (Monteiro)
997c30ae-d2d4-4689-ad63-60165bb6b587;25046764;ECI NOSSA SENHORA DAS GRACAS;RUA JOSE CASSIANO, SN CENTRO. 58560-000 Ouro Velho - PB.;Ouro Velho;PB;05ª GRE (Monteiro)
79324268-42ed-47c4-a7e0-52e216f928ae;25046950;ECIT FRANCISCO DE ASSIS GONZAGA;AVENIDA ANANIANO RAMOS GALVAO, 196 PREDIO. CENTRO. 58550-000 Prata - PB.;Prata;PB;05ª GRE (Monteiro)
e70b6a09-733c-479f-af72-9df9712dae5c;25046969;EEEIEF PLINIO LEMOS;ASSENTAMENTO ZE MARCOLINO, SN AGROVILA LAGINHA. ZONA RURAL. 58550-000 Prata - PB.;Prata;PB;
c5a7c459-ae4e-47ce-ad33-aca7f4d9f373;25047116;ECI MARIO OLIVEIRA CHAVES;RUA ANANIAS HONORIO DE SOUSA, 45 CENTRO. 58520-000 São João do Tigre - PB.;São João do Tigre;PB;05ª GRE (Monteiro)
3d1c55d8-9594-47e6-9719-cb016ebfc30a;25047450;ECI BARTOLOMEU MARACAJA;RUA EULAMPIA SOUZA E SILVA, 95 CENTRO. 58570-000 São José dos Cordeiros - PB.;São José dos Cordeiros;PB;05ª GRE (Monteiro)
42134753-e508-4fe7-b506-aa07ee73d2d0;25047469;ECI JAIRO AIRES CALUETE;RUA TERTULINO AIRES DE QUEIROZ, SN SEM COMPLEMENTO. CENTRO. 58575-000 Parari - PB.;Parari;PB;05ª GRE (Monteiro)
e24ec6a4-edbd-41bc-bb72-601e6ad98aef;25048350;ECI MALAQUIAS BATISTA FEITOSA;AVENIDA VICENTE PEDRO, 0 CENTRO. 58510-000 São Sebastião do Umbuzeiro - PB.;São Sebastião do Umbuzeiro;PB;05ª GRE (Monteiro)
fdbc7e71-ae19-46a6-a096-7afd7cffde0a;25048368;ECI MARIA CELESTE DO NASCIMENTO;RUA JOAO MIZAEL DE MEDEIROS, SN CENTRO. 58515-000 Zabelê - PB.;Zabelê;PB;05ª GRE (Monteiro)
21c1ad7c-3a97-45f2-ab04-caa494a02708;25048775;EEEFM MARIA BALBINA PEREIRA;AVENIDA MARIA BALBINA PEREIRA, 01 CENTRO. 58580-000 Serra Branca - PB.;Serra Branca;PB;05ª GRE (Monteiro)
bb6ccd0c-1d4b-43e6-b522-d769eca4e154;25048848;EEEF VASCONCELOS BRANDAO;AVENIDA DEPUTADO ALVARO GAUDENCIO, 54 CENTRO. 58580-000 Serra Branca - PB.;Serra Branca;PB;05ª GRE (Monteiro)
